01	Programming	04:16:28	+	0	Fixing bugs in product	1336813103573	1337570841096	15388689	
02	Phonecall	00:02:15	-	1	Setting up meeting with client	1336888798573	1336888933573	135000	
03	Presentation	00:15:43	-	2	Pitching product to client	1337062637573	1337063580573	943000	
04	Meeting	00:38:21	-	3	Discussion with human resources	1337082516573	1337084817573	2301000	
05	Q & A	00:02:15	-	4	Discussion with client	1337214417573	1337214417573	1210000	
06	Backup	00:52:45	-	5	Copying files to external drive	1337215627573	1337218792573	3165000	
07	Phonecall	00:00:11	-	6	Check in with boss	1337218795573	1337218806573	11000	
08	Partitioning	00:28:34	-	7	Split drive into 3 sections	1337218807917	1337570289572	1714988	
09	Reinstall	02:46:02	+	8	Installing OSes for the client	1337220522935	1337570292465	9962968	
10	Setup software	01:59:10	+	9	Installing office suite and configuration	1337230485910	1337570297842	7150005	
11	Stress test	32:15:48	+	10	Measuring reliability	1337449866934	1337570858225	116148936	
